date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2021-03-25,Equatorial Guinea,Tanzania,1,0,African Cup of Nations qualification,Malabo,Equatorial Guinea,FALSE
2021-03-25,Libya,Tunisia,2,5,African Cup of Nations qualification,Benina,Libya,FALSE
2021-03-25,Tajikistan,Mongolia,3,0,FIFA World Cup qualification,Dushanbe,Tajikistan,FALSE
2021-03-26,Chile,Bolivia,2,1,Friendly,Rancagua,Chile,FALSE
2021-03-26,Burundi,Central African Republic,2,2,African Cup of Nations qualification,Bujumbura,Burundi,FALSE
2021-03-26,Mauritania,Morocco,0,0,African Cup of Nations qualification,Nouakchott,Mauritania,FALSE
2021-03-26,Cape Verde,Cameroon,3,1,African Cup of Nations qualification,Praia,Cape Verde,FALSE
2021-03-26,Eswatini,Guinea-Bissau,1,3,African Cup of Nations qualification,Manzini,Eswatini,FALSE
2021-03-26,Congo,Senegal,0,0,African Cup of Nations qualification,Brazzaville,Congo,FALSE
2021-03-26,Niger,Ivory Coast,0,3,African Cup of Nations qualification,Lomé,Togo,TRUE
2021-03-27,Bosnia and Herzegovina,Costa Rica,0,0,Friendly,Zenica,Bosnia and Herzegovina,FALSE
2021-03-27,Nepal,Bangladesh,0,0,Friendly,Kathmandu,Nepal,FALSE
2021-03-27,Qatar,Azerbaijan,2,1,Friendly,Debrecen,Hungary,TRUE
2021-03-27,Wales,Mexico,1,0,Friendly,Cardiff,Wales,FALSE
2021-03-27,United States Virgin Islands,Antigua and Barbuda,0,3,FIFA World Cup qualification,Saint Croix,United States Virgin Islands,FALSE
2021-03-27,Aruba,Suriname,0,6,FIFA World Cup qualification,Bradenton,United States,TRUE
2021-03-27,British Virgin Islands,Guatemala,0,3,FIFA World Cup qualification,Willemstad,Curaçao,TRUE
2021-03-27,Anguilla,Dominican Republic,0,6,FIFA World Cup qualification,Fort Lauderdale,United States,TRUE
2021-03-27,Turks and Caicos Islands,Nicaragua,0,7,FIFA World Cup qualification,San Cristóbal,Dominican Republic,TRUE
2021-03-27,Bahamas,Saint Kitts and Nevis,0,4,FIFA World Cup qualification,Nassau,Bahamas,FALSE
2021-03-27,Republic of Ireland,Luxembourg,0,1,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE
2021-03-27,Serbia,Portugal,2,2,FIFA World Cup qualification,Belgrade,Serbia,FALSE
2021-03-27,Belarus,Estonia,4,2,FIFA World Cup qualification,Minsk,Belarus,FALSE
2021-03-27,Czech Republic,Belgium,1,1,FIFA World Cup qualification,Prague,Czech Republic,FALSE
2021-03-27,Montenegro,Gibraltar,4,1,FIFA World Cup qualification,Podgorica,Montenegro,FALSE
2021-03-27,Netherlands,Latvia,2,0,FIFA World Cup qualification,Amsterdam,Netherlands,FALSE
2021-03-27,Norway,Turkey,0,3,FIFA World Cup qualification,Málaga,Spain,TRUE
2021-03-27,Russia,Slovenia,2,1,FIFA World Cup qualification,Sochi,Russia,FALSE
2021-03-27,Croatia,Cyprus,1,0,FIFA World Cup qualification,Rijeka,Croatia,FALSE
2021-03-27,Slovakia,Malta,2,2,FIFA World Cup qualification,Trnava,Slovakia,FALSE
2021-03-27,Lesotho,Sierra Leone,0,0,African Cup of Nations qualification,Maseru,Lesotho,FALSE
2021-03-27,Benin,Nigeria,0,1,African Cup of Nations qualification,Porto-Novo,Benin,FALSE
2021-03-28,Greece,Honduras,2,1,Friendly,Thessaloniki,Greece,FALSE
2021-03-28,Northern Ireland,United States,1,2,Friendly,Belfast,Northern Ireland,FALSE
2021-03-28,Montserrat,El Salvador,1,1,FIFA World Cup qualification,Willemstad,Curaçao,TRUE
2021-03-28,Cuba,Curaçao,1,2,FIFA World Cup qualification,Guatemala City,Guatemala,TRUE
2021-03-28,Dominica,Panama,1,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
2021-03-28,Puerto Rico,Trinidad and Tobago,1,1,FIFA World Cup qualification,Mayagüez,Puerto Rico,FALSE
2021-03-28,Georgia,Spain,1,2,FIFA World Cup qualification,Tbilisi,Georgia,FALSE
2021-03-28,Kosovo,Sweden,0,3,FIFA World Cup qualification,Pristina,Kosovo,FALSE
2021-03-28,Switzerland,Lithuania,1,0,FIFA World Cup qualification,St. Gallen,Switzerland,FALSE
2021-03-28,Bulgaria,Italy,0,2,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
2021-03-28,Kazakhstan,France,0,2,FIFA World Cup qualification,Nur-Sultan,Kazakhstan,FALSE
2021-03-28,Ukraine,Finland,1,1,FIFA World Cup qualification,Kyiv,Ukraine,FALSE
2021-03-28,Denmark,Moldova,8,0,FIFA World Cup qualification,Herning,Denmark,FALSE
2021-03-28,Austria,Faroe Islands,3,1,FIFA World Cup qualification,Vienna,Austria,FALSE
2021-03-28,Israel,Scotland,1,1,FIFA World Cup qualification,Tel Aviv,Israel,FALSE
2021-03-28,Albania,England,0,2,FIFA World Cup qualification,Tirana,Albania,FALSE
2021-03-28,Poland,Andorra,3,0,FIFA World Cup qualification,Warsaw,Poland,FALSE
2021-03-28,San Marino,Hungary,0,3,FIFA World Cup qualification,Serravalle,San Marino,FALSE
2021-03-28,Armenia,Iceland,2,0,FIFA World Cup qualification,Yerevan,Armenia,FALSE
2021-03-28,North Macedonia,Liechtenstein,5,0,FIFA World Cup qualification,Skopje,North Macedonia,FALSE
2021-03-28,Romania,Germany,0,1,FIFA World Cup qualification,Bucharest,Romania,FALSE
2021-03-28,Namibia,Guinea,2,1,African Cup of Nations qualification,Windhoek,Namibia,FALSE
2021-03-28,Mali,Chad,3,0,African Cup of Nations qualification,Bamako,Mali,FALSE
2021-03-28,Ghana,São Tomé and Príncipe,3,1,African Cup of Nations qualification,Cape Coast,Ghana,FALSE
2021-03-28,Sudan,South Africa,2,0,African Cup of Nations qualification,Omdurman,Sudan,FALSE
2021-03-28,Tunisia,Equatorial Guinea,2,1,African Cup of Nations qualification,Radès,Tunisia,FALSE
2021-03-28,Tanzania,Libya,1,0,African Cup of Nations qualification,Dar es Salaam,Tanzania,FALSE
2021-03-29,Ecuador,Bolivia,2,1,Friendly,Guayaquil,Ecuador,FALSE
2021-03-29,Kuwait,Lebanon,1,1,Friendly,Dubai,United Arab Emirates,TRUE
2021-03-29,Nepal,Bangladesh,2,1,Friendly,Kathmandu,Nepal,FALSE
2021-03-29,Uzbekistan,Iraq,0,1,Friendly,Tashkent,Uzbekistan,FALSE
2021-03-29,Cayman Islands,Canada,0,11,FIFA World Cup qualification,Bradenton,United States,TRUE
2021-03-29,Burkina Faso,South Sudan,1,0,African Cup of Nations qualification,Ouagadougou,Burkina Faso,FALSE
2021-03-29,Malawi,Uganda,1,0,African Cup of Nations qualification,Lilongwe,Malawi,FALSE
2021-03-29,Angola,Gabon,2,0,African Cup of Nations qualification,Luanda,Angola,FALSE
2021-03-29,DR Congo,Gambia,1,0,African Cup of Nations qualification,Kinshasa,DR Congo,FALSE
2021-03-29,Togo,Kenya,1,2,African Cup of Nations qualification,Lomé,Togo,FALSE
2021-03-29,Egypt,Comoros,4,0,African Cup of Nations qualification,Cairo,Egypt,FALSE
2021-03-29,Algeria,Botswana,5,0,African Cup of Nations qualification,Algiers,Algeria,FALSE
2021-03-29,Zimbabwe,Zambia,0,2,African Cup of Nations qualification,Harare,Zimbabwe,FALSE
2021-03-29,United Arab Emirates,India,6,0,Friendly,Dubai,United Arab Emirates,FALSE
2021-03-30,Bahrain,Jordan,1,2,Friendly,Riffa,Bahrain,FALSE
2021-03-30,Costa Rica,Mexico,0,1,Friendly,Wiener Neustadt,Austria,TRUE
2021-03-30,Iran,Syria,3,0,Friendly,Tehran,Iran,FALSE
2021-03-30,Republic of Ireland,Qatar,1,1,Friendly,Debrecen,Hungary,TRUE
2021-03-30,Grenada,United States Virgin Islands,1,0,FIFA World Cup qualification,St. George's,Grenada,FALSE
2021-03-30,Bermuda,Aruba,5,0,FIFA World Cup qualification,Bradenton,United States,TRUE
2021-03-30,Saint Vincent and the Grenadines,British Virgin Islands,3,0,FIFA World Cup qualification,Willemstad,Curaçao,TRUE
2021-03-30,Barbados,Anguilla,1,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
2021-03-30,Belize,Turks and Caicos Islands,5,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,TRUE
2021-03-30,Guyana,Bahamas,4,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
2021-03-30,Azerbaijan,Serbia,1,2,FIFA World Cup qualification,Baku,Azerbaijan,FALSE
2021-03-30,Luxembourg,Portugal,1,3,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
2021-03-30,Wales,Czech Republic,1,0,FIFA World Cup qualification,Cardiff,Wales,FALSE
2021-03-30,Belgium,Belarus,8,0,FIFA World Cup qualification,Leuven,Belgium,FALSE
2021-03-30,Gibraltar,Netherlands,0,7,FIFA World Cup qualification,Gibraltar,Gibraltar,FALSE
2021-03-30,Montenegro,Norway,0,1,FIFA World Cup qualification,Podgorica,Montenegro,FALSE
2021-03-30,Turkey,Latvia,3,3,FIFA World Cup qualification,Istanbul,Turkey,FALSE
2021-03-30,Cyprus,Slovenia,1,0,FIFA World Cup qualification,Nicosia,Cyprus,FALSE
2021-03-30,Croatia,Malta,3,0,FIFA World Cup qualification,Rijeka,Croatia,FALSE
2021-03-30,Slovakia,Russia,2,1,FIFA World Cup qualification,Trnava,Slovakia,FALSE
2021-03-30,Saudi Arabia,Palestine,5,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,FALSE
2021-03-30,Japan,Mongolia,14,0,FIFA World Cup qualification,Chiba,Japan,FALSE
2021-03-30,Central African Republic,Mauritania,0,1,African Cup of Nations qualification,Bangui,Central African Republic,FALSE
2021-03-30,Morocco,Burundi,1,0,African Cup of Nations qualification,Rabat,Morocco,FALSE
2021-03-30,Cameroon,Rwanda,0,0,African Cup of Nations qualification,Douala,Cameroon,FALSE
2021-03-30,Mozambique,Cape Verde,0,1,African Cup of Nations qualification,Maputo,Mozambique,FALSE
2021-03-30,Guinea-Bissau,Congo,3,0,African Cup of Nations qualification,Bissau,Guinea-Bissau,FALSE
2021-03-30,Senegal,Eswatini,1,1,African Cup of Nations qualification,Thiès,Senegal,FALSE
2021-03-30,Ivory Coast,Ethiopia,3,1,African Cup of Nations qualification,Abidjan,Ivory Coast,FALSE
2021-03-30,Madagascar,Niger,0,0,African Cup of Nations qualification,Toamasina,Madagascar,FALSE
2021-03-30,Nigeria,Lesotho,3,0,African Cup of Nations qualification,Lagos,Nigeria,FALSE
2021-03-31,Sweden,Estonia,1,0,Friendly,Stockholm,Sweden,FALSE
2021-03-31,Switzerland,Finland,3,2,Friendly,St. Gallen,Switzerland,FALSE
2021-03-31,Spain,Kosovo,3,1,FIFA World Cup qualification,Seville,Spain,FALSE
2021-03-31,Greece,Georgia,1,1,FIFA World Cup qualification,Thessaloniki,Greece,FALSE
2021-03-31,Northern Ireland,Bulgaria,0,0,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE
2021-03-31,Lithuania,Italy,0,2,FIFA World Cup qualification,Vilnius,Lithuania,FALSE
2021-03-31,Bosnia and Herzegovina,France,0,1,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,FALSE
2021-03-31,Ukraine,Kazakhstan,1,1,FIFA World Cup qualification,Kyiv,Ukraine,FALSE
2021-03-31,Scotland,Faroe Islands,4,0,FIFA World Cup qualification,Glasgow,Scotland,FALSE
2021-03-31,Austria,Denmark,0,4,FIFA World Cup qualification,Vienna,Austria,FALSE
2021-03-31,Moldova,Israel,1,4,FIFA World Cup qualification,Chișinău,Moldova,FALSE
2021-03-31,England,Poland,2,1,FIFA World Cup qualification,London,England,FALSE
2021-03-31,Andorra,Hungary,1,4,FIFA World Cup qualification,Andorra la Vella,Andorra,FALSE
2021-03-31,San Marino,Albania,0,2,FIFA World Cup qualification,Serravalle,San Marino,FALSE
2021-03-31,Armenia,Romania,3,2,FIFA World Cup qualification,Yerevan,Armenia,FALSE
2021-03-31,Germany,North Macedonia,1,2,FIFA World Cup qualification,Duisburg,Germany,FALSE
2021-03-31,Liechtenstein,Iceland,1,4,FIFA World Cup qualification,Vaduz,Liechtenstein,FALSE
2021-05-23,Ukraine,Bahrain,1,1,Friendly,Kharkiv,Ukraine,FALSE
2021-05-24,Iraq,Tajikistan,0,0,Friendly,Basra,Iraq,FALSE
2021-05-24,United Arab Emirates,Jordan,5,1,Friendly,Dubai,United Arab Emirates,FALSE
2021-05-25,Indonesia,Afghanistan,2,3,Friendly,Dubai,United Arab Emirates,TRUE
2021-05-25,Oman,Thailand,1,0,Friendly,Dubai,United Arab Emirates,TRUE
2021-05-27,Turkey,Azerbaijan,2,1,Friendly,Alanya,Turkey,FALSE
2021-05-28,Bahrain,Malaysia,2,0,Friendly,Riffa,Bahrain,FALSE
2021-05-28,Italy,San Marino,7,0,Friendly,Cagliari,Italy,FALSE
2021-05-28,Japan,Myanmar,10,0,FIFA World Cup qualification,Chiba,Japan,FALSE
2021-05-29,Indonesia,Oman,1,3,Friendly,Dubai,United Arab Emirates,TRUE
2021-05-29,Iraq,Nepal,6,2,Friendly,Basra,Iraq,FALSE
2021-05-29,Mexico,Iceland,2,1,Friendly,Arlington,United States,TRUE
2021-05-29,Singapore,Afghanistan,1,1,Friendly,Dubai,United Arab Emirates,TRUE
2021-05-29,Sweden,Finland,2,0,Friendly,Stockholm,Sweden,FALSE
2021-05-29,Thailand,Tajikistan,2,2,Friendly,Sharjah,United Arab Emirates,TRUE
2021-05-30,Malta,Northern Ireland,0,3,Friendly,Klagenfurt,Austria,TRUE
2021-05-30,Switzerland,United States,2,1,Friendly,St. Gallen,Switzerland,FALSE
2021-05-30,China PR,Guam,7,0,FIFA World Cup qualification,Suzhou,China PR,FALSE
2021-05-31,Jordan,Vietnam,1,1,Friendly,Sharjah,United Arab Emirates,TRUE
2021-05-31,Turkey,Guinea,0,0,Friendly,Antalya,Turkey,FALSE
2021-06-01,Croatia,Armenia,1,1,Friendly,Velika Gorica,Croatia,FALSE
2021-06-01,Kosovo,San Marino,4,1,Friendly,Pristina,Kosovo,FALSE
2021-06-01,North Macedonia,Slovenia,1,1,Friendly,Skopje,North Macedonia,FALSE
2021-06-01,Poland,Russia,1,1,Friendly,Wrocław,Poland,FALSE
2021-06-01,Slovakia,Bulgaria,1,1,Friendly,Ried im Innkreis,Austria,TRUE
2021-06-01,Lithuania,Estonia,0,1,Baltic Cup,Vilnius,Lithuania,FALSE
2021-06-02,Belarus,Azerbaijan,1,2,Friendly,Minsk,Belarus,FALSE
2021-06-02,Bosnia and Herzegovina,Montenegro,0,0,Friendly,Sarajevo,Bosnia and Herzegovina,FALSE
2021-06-02,England,Austria,1,0,Friendly,London,England,FALSE
2021-06-02,France,Wales,3,0,Friendly,Nice,France,FALSE
2021-06-02,Germany,Denmark,1,1,Friendly,Innsbruck,Austria,TRUE
2021-06-02,Mozambique,Lesotho,5,0,Friendly,Maputo,Mozambique,FALSE
2021-06-02,Netherlands,Scotland,2,2,Friendly,São João da Venda,Portugal,TRUE
2021-06-02,Norway,Luxembourg,1,0,Friendly,Málaga,Spain,TRUE
2021-06-02,Romania,Georgia,1,2,Friendly,Ploiești,Romania,FALSE
2021-06-02,Montserrat,United States Virgin Islands,4,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,TRUE
2021-06-02,Cayman Islands,Aruba,1,3,FIFA World Cup qualification,Bradenton,United States,TRUE
2021-06-02,Cuba,British Virgin Islands,5,0,FIFA World Cup qualification,Guatemala City,Guatemala,TRUE
2021-06-02,Dominica,Anguilla,3,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
2021-06-02,Puerto Rico,Bahamas,7,0,FIFA World Cup qualification,Mayagüez,Puerto Rico,FALSE
2021-06-03,Algeria,Mauritania,4,1,Friendly,Blida,Algeria,FALSE
2021-06-03,Andorra,Republic of Ireland,1,4,Friendly,Andorra la Vella,Andorra,FALSE
2021-06-03,Belgium,Greece,1,1,Friendly,Brussels,Belgium,FALSE
2021-06-03,Switzerland,Liechtenstein,7,0,Friendly,St. Gallen,Switzerland,FALSE
2021-06-03,Turkey,Moldova,2,0,Friendly,Paderborn,Germany,TRUE
2021-06-03,Ukraine,Northern Ireland,1,0,Friendly,Dnipro,Ukraine,FALSE
2021-06-03,Mexico,Costa Rica,0,0,CONCACAF Nations League,Denver,United States,TRUE
2021-06-03,United States,Honduras,1,0,CONCACAF Nations League,Denver,United States,FALSE
2021-06-03,Nepal,Taiwan,2,0,FIFA World Cup qualification,Kuwait City,Kuwait,TRUE
2021-06-03,Iran,Hong Kong,3,1,FIFA World Cup qualification,Arad,Iran,FALSE
2021-06-03,Bahrain,Cambodia,8,0,FIFA World Cup qualification,Riffa,Bahrain,FALSE
2021-06-03,Palestine,Singapore,4,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,TRUE
2021-06-03,Bangladesh,Afghanistan,1,1,FIFA World Cup qualification,Doha,Qatar,TRUE
2021-06-03,United Arab Emirates,Malaysia,4,0,FIFA World Cup qualification,Dubai,United Arab Emirates,FALSE
2021-06-03,Thailand,Indonesia,2,2,FIFA World Cup qualification,Dubai,United Arab Emirates,TRUE
2021-06-03,Bolivia,Venezuela,3,1,FIFA World Cup qualification,La Paz,Bolivia,FALSE
2021-06-03,Uruguay,Paraguay,0,0,FIFA World Cup qualification,Montevideo,Uruguay,FALSE
2021-06-03,Argentina,Chile,1,1,FIFA World Cup qualification,Santiago del Estero,Argentina,FALSE
2021-06-03,Peru,Colombia,0,3,FIFA World Cup qualification,Lima,Peru,FALSE
2021-06-03,Kuwait,Australia,0,3,FIFA World Cup qualification,Kuwait City,Kuwait,FALSE
2021-06-03,Qatar,India,1,0,FIFA World Cup qualification,Doha,Qatar,FALSE
2021-06-04,Faroe Islands,Iceland,0,1,Friendly,Tórshavn,Faroe Islands,FALSE
2021-06-04,Finland,Estonia,0,1,Friendly,Helsinki,Finland,FALSE
2021-06-04,Hungary,Cyprus,1,0,Friendly,Budapest,Hungary,FALSE
2021-06-04,Italy,Czech Republic,4,0,Friendly,Bologna,Italy,FALSE
2021-06-04,Kosovo,Malta,2,1,Friendly,Klagenfurt,Austria,TRUE
2021-06-04,Nigeria,Cameroon,0,1,Friendly,Wiener Neustadt,Austria,TRUE
2021-06-04,North Macedonia,Kazakhstan,4,0,Friendly,Skopje,North Macedonia,FALSE
2021-06-04,Rwanda,Central African Republic,2,0,Friendly,Kigali,Rwanda,FALSE
2021-06-04,Slovenia,Gibraltar,6,0,Friendly,Koper,Slovenia,FALSE
2021-06-04,Spain,Portugal,0,0,Friendly,Madrid,Spain,FALSE
2021-06-04,Latvia,Lithuania,3,1,Baltic Cup,Riga,Latvia,FALSE
2021-06-04,Maldives,Syria,0,4,FIFA World Cup qualification,Sharjah,United Arab Emirates,TRUE
2021-06-04,Antigua and Barbuda,Grenada,1,0,FIFA World Cup qualification,North Sound,Antigua and Barbuda,FALSE
2021-06-04,Suriname,Bermuda,6,0,FIFA World Cup qualification,Paramaribo,Suriname,FALSE
2021-06-04,Guatemala,Saint Vincent and the Grenadines,10,0,FIFA World Cup qualification,Guatemala City,Guatemala,FALSE
2021-06-04,Dominican Republic,Barbados,1,1,FIFA World Cup qualification,Santo Domingo,Dominican Republic,FALSE
2021-06-04,Nicaragua,Belize,3,0,FIFA World Cup qualification,Managua,Nicaragua,FALSE
2021-06-04,Saint Kitts and Nevis,Guyana,3,0,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,FALSE
2021-06-04,Brazil,Ecuador,2,0,FIFA World Cup qualification,Porto Alegre,Brazil,FALSE
2021-06-05,Guinea,Togo,0,2,Friendly,Antalya,Turkey,TRUE
2021-06-05,Ivory Coast,Burkina Faso,2,1,Friendly,Abidjan,Ivory Coast,FALSE
2021-06-05,Montenegro,Israel,1,3,Friendly,Podgorica,Montenegro,FALSE
2021-06-05,Niger,Gambia,0,2,Friendly,Antalya,Turkey,TRUE
2021-06-05,Russia,Bulgaria,1,0,Friendly,Moscow,Russia,FALSE
2021-06-05,Senegal,Zambia,3,1,Friendly,Thiès,Senegal,FALSE
2021-06-05,Sweden,Armenia,3,1,Friendly,Stockholm,Sweden,FALSE
2021-06-05,Tunisia,DR Congo,1,0,Friendly,Radès,Tunisia,FALSE
2021-06-05,Wales,Albania,0,0,Friendly,Cardiff,Wales,FALSE
2021-06-05,Saudi Arabia,Yemen,3,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,FALSE
2021-06-05,Lebanon,Sri Lanka,3,2,FIFA World Cup qualification,Goyang,South Korea,TRUE
2021-06-05,South Korea,Turkmenistan,5,0,FIFA World Cup qualification,Goyang,South Korea,FALSE
2021-06-05,United States Virgin Islands,El Salvador,0,7,FIFA World Cup qualification,Saint Croix,United States Virgin Islands,FALSE
2021-06-05,Aruba,Canada,0,7,FIFA World Cup qualification,Bradenton,United States,TRUE
2021-06-05,British Virgin Islands,Curaçao,0,8,FIFA World Cup qualification,Guatemala City,Guatemala,TRUE
2021-06-05,Panama,Anguilla,13,0,FIFA World Cup qualification,Panama City,Panama,FALSE
2021-06-05,Turks and Caicos Islands,Haiti,0,10,FIFA World Cup qualification,Providenciales,Turks and Caicos Islands,FALSE
2021-06-05,Bahamas,Trinidad and Tobago,0,0,FIFA World Cup qualification,Nassau,Bahamas,FALSE
2021-06-06,Algeria,Mali,1,0,Friendly,Blida,Algeria,FALSE
2021-06-06,Austria,Slovakia,0,0,Friendly,Vienna,Austria,FALSE
